cycle,capacity,voltage,current,temperature,max_voltage,min_voltage,max_temperature,discharge_duration_s,num_points
1,0.1,3.6303445145018918,-0.548346784363178,23.15031525851198,4.199,2.694,27.0,318.85776599999997,3965
2,0.101,3.6361586840832123,-0.5249163038219643,23.762699564586356,4.195,2.68,29.0,405.49248299999994,4134
3,0.1,3.652729147778785,-0.4920494106980961,24.06097008159565,4.196,2.711,28.0,801.6897499999999,4412
4,0.1,3.6313279320987655,-0.5552723765432099,23.128600823045268,4.197,2.685,29.0,780.039366,3888
5,0.1,3.6315671809256664,-0.5545870967741936,23.260589060308554,4.174,2.689,29.0,720.9057499999999,3565
6,0.1,3.6446529562982004,-0.5263250499857184,23.902313624678662,4.179,2.674,30.0,893.475367,3501
7,0.1,3.6320630018529956,-0.5478999382334775,23.731933292155652,4.195,2.719,30.0,736.4851160000001,3238
8,0.099,3.6360760432766615,-0.5487452859350851,24.09984544049459,4.168,2.708,30.0,806.5526499999999,3235
9,0.099,3.63576439628483,-0.5476123839009288,23.65077399380805,4.202,2.713,29.0,889.145284,3230
10,0.099,3.653820677966102,-0.5479006779661018,23.90135593220339,4.197,2.789,29.0,967.6656000000003,2950
11,0.099,3.6511929763560502,-0.5483925591098748,24.091098748261473,4.194,2.698,30.0,1034.3087999999998,2876
12,0.098,3.6661839557399722,-0.5492360534808667,24.68326417704011,4.151,2.683,30.0,1034.3304000000003,2169
13,0.097,3.6673437788018433,-0.5483783410138249,24.82626728110599,4.191,2.694,30.0,1103.52385,2170
14,0.096,3.6672948243992605,-0.5482084103512015,24.93992606284658,4.187,2.849,30.0,1172.818084,2164
15,0.097,3.6664556786703604,-0.5481814404432134,25.140350877192983,4.198,2.713,30.0,1239.5764839999997,2166
16,0.096,3.666047619047619,-0.5476056403143782,24.475728155339805,4.184,2.735,29.0,1306.3478339999997,2163
17,0.097,3.6613496873496874,-0.547977392977393,23.7994227994228,4.198,2.696,29.0,1375.8062499999996,2079
18,0.096,3.648246845858475,-0.5481404278661547,24.157981349424027,4.181,2.722,29.0,1442.9563169999997,1823
19,0.096,3.6434355285002766,-0.548840619811843,24.00774764803542,4.168,2.715,29.0,2052.6321500000004,1807
20,0.096,3.6471413698630135,-0.5479298630136986,23.656986301369862,4.193,2.69,29.0,2054.59055,1825
21,0.096,3.6461245883644344,-0.5480021953896816,23.714050493962677,4.187,2.71,30.0,2056.420800000001,1822
22,0.097,3.646685541506322,-0.5488592633315009,23.680043980208907,4.183,2.704,30.0,2057.7470329999996,1819
23,0.096,3.649067515218594,-0.5481106806862203,24.04648588821251,4.184,2.676,30.0,2058.968167,1807
24,0.096,3.641613716295428,-0.5478358733880423,23.718640093786636,4.173,2.772,27.0,2058.4454499999993,1706
25,0.096,3.63892618629174,-0.5483960164030464,23.48623315758641,4.193,2.672,28.0,2057.7571159999998,1707
26,0.096,3.6362855464159813,-0.5488824911868391,23.130434782608695,4.164,2.742,29.0,2058.734866,1702
27,0.096,3.6366554770318023,-0.5489593639575971,22.972320376914016,4.163,2.755,25.0,2057.191200000001,1698
28,0.096,3.6390406360424032,-0.5487055359246172,23.881625441696112,4.186,2.765,27.0,2114.763833,1698
29,0.096,3.638089947089947,-0.547766607877719,23.400352733686066,4.186,2.718,28.0,2179.794234,1701
30,0.096,3.6371339233038356,-0.547085545722714,22.53156342182891,4.18,2.784,27.0,2243.3227159999997,1695
31,0.096,3.6374206489675514,-0.5477811209439528,23.06843657817109,4.191,2.736,28.0,2307.7713669999994,1695
32,0.097,3.6377418974661166,-0.5478845020624633,22.7142015321155,4.197,2.697,28.0,2371.785115999999,1697
33,0.096,3.637801179941003,-0.548294395280236,23.102654867256636,4.173,2.768,25.0,2438.8315159999993,1695
34,0.097,3.6400895698291102,-0.5486570418385387,23.214496169711254,4.148,2.724,27.0,2503.1188840000004,1697
35,0.096,3.6363603071470765,-0.5483933845245127,22.561134081512108,4.2,2.681,27.0,2567.2795160000005,1693
36,0.096,3.6364242603550294,-0.5491721893491125,22.653254437869823,4.146,2.779,26.0,2631.9110500000006,1690
37,0.096,3.6356694263749256,-0.5487569485511532,22.86280307510349,4.188,2.691,28.0,2695.5576,1691
38,0.108,3.6448290398126466,-0.5483670960187355,23.343091334894613,4.171,2.789,28.0,2757.938399999999,1708
39,0.097,3.6423937426210156,-0.5476269185360095,23.51711924439197,4.194,2.687,29.0,2821.2983999999997,1694
40,0.096,3.6450101201771026,-0.5484819734345352,23.538266919671095,4.177,2.687,29.0,2884.7591999999986,1581
41,0.096,3.6457764407853075,-0.5481868271057632,23.530082330588982,4.191,2.709,30.0,2949.014883,1579
42,0.096,3.647831746031746,-0.5489225396825398,23.16190476190476,4.179,2.746,30.0,3013.031515999999,1575
43,0.095,3.646377777777778,-0.5482933333333333,23.532698412698412,4.187,2.755,30.0,3078.1367999999984,1575
44,0.095,3.6501513994910946,-0.5479923664122138,24.108142493638677,4.19,2.808,30.0,3143.2392,1572
45,0.096,3.650091254752851,-0.5483681875792142,24.487325728770596,4.149,2.692,30.0,3210.2294500000007,1578
46,0.096,3.6496634980988594,-0.5474968314321927,24.565906210392903,4.201,2.681,30.0,3277.938250000001,1578
47,0.095,3.652822631913541,-0.5478893833439289,24.483788938334392,4.17,2.921,29.0,3347.5262330000005,1573
48,0.095,3.649648888888889,-0.5484819047619048,24.443809523809524,4.15,2.673,30.0,3415.6958329999998,1575
49,0.096,3.6501288888888888,-0.5480679365079366,24.75936507936508,4.15,2.691,30.0,3481.5988830000006,1575
50,0.096,3.64894790343075,-0.5470578144853877,25.24777636594663,4.192,2.71,30.0,3548.7662330000003,1574
51,0.096,3.6491923809523805,-0.548527619047619,24.904761904761905,4.165,2.727,28.0,3615.914884,1575
52,0.095,3.6538163716814163,-0.5483141592920355,25.096607669616517,4.197,2.74,27.0,2921.0745669999997,1356
53,0.095,3.6551804008908686,-0.5487201187824796,25.21380846325167,4.166,2.768,27.0,2975.028483,1347
54,0.095,3.650893521965748,-0.54805956813105,25.182427401340284,4.2,2.72,28.0,2406.0369500000015,1343
55,0.095,3.6523921423276495,-0.5480681986656784,24.936990363232024,4.172,2.811,28.0,2445.8932829999994,1349
56,0.094,3.654470675575353,-0.5474357832219748,25.234595397178918,4.15,2.822,29.0,2485.709266,1347
57,0.094,3.6534333333333335,-0.5470681481481483,25.057037037037038,4.176,2.75,28.0,2526.68735,1350
58,0.095,3.6504784546805347,-0.5488573551263003,24.679049034175335,4.201,2.776,29.0,2567.5488000000005,1346
59,0.094,3.650465503568596,-0.547755749405234,24.967486122125297,4.176,2.865,29.0,2607.1804840000004,1261
60,0.094,3.6409377022653726,-0.546460355987055,24.585760517799354,4.195,2.786,29.0,2648.3817500000023,1236
61,0.094,3.6380938511326857,-0.5474700647249191,24.105987055016183,4.189,2.669,29.0,2688.5678499999995,1236
62,0.094,3.6446702508960573,-0.5492992831541219,23.525089605734767,4.148,2.715,28.0,2728.656000000001,1116
63,0.095,3.6416484304932735,-0.5483766816143498,23.948878923766816,4.172,2.673,29.0,2769.1718500000006,1115
64,0.094,3.6430107913669065,-0.549328237410072,23.014388489208635,4.163,2.741,25.0,2808.583199999999,1112
65,0.095,3.6420062949640286,-0.5490719424460432,23.559352517985612,4.147,2.792,26.0,2848.9838500000005,1112
66,0.092,3.661481776765376,-0.5495216400911161,25.30523917995444,4.148,2.951,27.0,2521.605600000001,878
67,0.093,3.6530590909090908,-0.5486375,24.073863636363637,4.169,2.752,28.0,2557.234065999999,880
68,0.093,3.66121045751634,-0.5474771241830066,23.95294117647059,4.202,2.723,26.0,2591.84735,765
69,0.092,3.659339869281046,-0.5482562091503268,24.281045751633986,4.157,2.718,26.0,2626.0300659999994,765
70,0.093,3.6724052197802197,-0.5477184065934066,24.089285714285715,4.195,2.856,26.0,2661.013450000002,728
71,0.092,3.669136636636637,-0.5483348348348349,24.31981981981982,4.149,2.831,27.0,2694.683534,666
72,0.093,3.6687834586466166,-0.5475398496240602,23.738345864661653,4.191,2.857,25.0,2729.5689500000008,665
73,0.093,3.663154422788606,-0.5495757121439281,23.062968515742128,4.147,2.736,25.0,2763.6033669999997,667
74,0.093,3.6654015037593988,-0.5489308270676692,23.89924812030075,4.166,2.774,26.0,2798.7983999999997,665
75,0.093,3.666311746987952,-0.5475572289156628,24.30722891566265,4.184,2.742,26.0,2833.2532659999997,664
76,0.095,3.6296865497076025,-0.5480432748538012,23.22573099415205,4.197,2.71,27.0,3299.1695999999974,855
77,0.094,3.6474104859335035,-0.5489987212276215,23.242966751918157,4.169,2.762,26.0,3341.4624000000003,782
78,0.094,3.647216178521618,-0.5465857740585773,23.203626220362622,4.183,2.713,25.0,3385.8676830000004,717
79,0.094,3.628156482861401,-0.549032786885246,23.363636363636363,4.146,2.732,25.0,3428.3678330000002,671
80,0.094,3.630298062593145,-0.5469314456035768,23.82414307004471,4.168,2.845,26.0,3470.973116000001,671
81,0.094,3.627525297619048,-0.5494866071428572,24.148809523809526,4.149,2.693,26.0,3513.8088000000025,672
82,0.094,3.6272850746268657,-0.5481850746268657,23.813432835820894,4.181,2.776,25.0,3557.2334329999976,670
83,0.094,3.611274165202109,-0.5494130052724078,23.84358523725835,4.148,2.703,25.0,3599.7782340000012,569
84,0.094,3.6125731922398585,-0.5495185185185185,24.209876543209877,4.147,2.795,25.0,3641.608800000002,567
85,0.094,3.611903169014085,-0.5482799295774647,24.091549295774648,4.146,2.71,25.0,3684.358083000003,568
86,0.094,3.614763668430335,-0.547252204585538,24.724867724867725,4.153,2.796,26.0,3726.335515999999,567
87,0.094,3.614325704225352,-0.5494894366197184,24.70774647887324,4.148,2.711,26.0,3768.4843340000007,568
88,0.094,3.6185467372134035,-0.5481252204585537,24.78306878306878,4.152,2.972,26.0,3809.8785500000013,567
89,0.094,3.616079365079365,-0.5494673721340388,24.52910052910053,4.149,2.904,26.0,3852.22465,567
90,0.094,3.611800705467372,-0.5480511463844797,23.149911816578484,4.194,2.695,26.0,3895.986234,567
91,0.094,3.6271862527716183,-0.5474900221729491,24.20842572062084,4.185,2.895,26.0,3939.855833999998,451
92,0.094,3.6243487858719647,-0.5490154525386314,24.09271523178808,4.15,2.743,27.0,3983.893916000001,453
93,0.093,3.6276962305986693,-0.5481707317073171,24.46119733924612,4.149,2.934,27.0,4027.7347340000015,451
94,0.094,3.6260176600441505,-0.5473841059602649,24.788079470198674,4.179,2.743,27.0,4071.659050000002,453
95,0.094,3.659022026431718,-0.5491718061674009,23.41409691629956,4.159,2.735,27.0,4115.789283000002,227
96,0.093,3.6739030837004405,-0.5477400881057269,23.933920704845814,4.157,2.956,27.0,4158.947533999999,227
97,0.094,3.6707533039647577,-0.5486167400881057,25.277533039647576,4.171,2.912,27.0,4199.839200000002,227
98,0.094,3.669145374449339,-0.5478678414096917,24.718061674008812,4.185,2.797,27.0,4239.993599999998,227
99,0.094,3.628246575342465,-0.5471746575342465,24.57191780821918,4.18,2.836,27.0,4279.158716999998,292
100,0.094,3.6416932153392327,-0.548023598820059,23.24188790560472,4.2,2.733,25.0,4318.826399999998,339
101,0.093,3.639017699115044,-0.5473274336283186,23.112094395280234,4.198,2.726,25.0,4357.897916999998,339
