training_seed,held_out_cell,model,n_cycles,rmse,violation_rate,violation_count
42,CS2_33,pinn,864,0.39492165230478,0.0,0
42,CS2_33,lstm,864,0.2793400906206817,0.0,0
42,CS2_34,pinn,774,0.1824089651547609,0.0,0
42,CS2_34,lstm,774,0.1757624282311815,0.0,0
42,CS2_35,pinn,932,0.2187420487537499,0.0,0
42,CS2_35,lstm,932,0.198838860590335,0.0,0
42,CS2_36,pinn,970,0.6252327398477041,0.0,0
42,CS2_36,lstm,970,0.2500988057055132,0.0,0
42,CS2_37,pinn,1037,0.2372619348651431,0.0,0
42,CS2_37,lstm,1037,0.2188684743585344,0.0,0
42,CS2_38,pinn,1076,0.2158719599044489,0.0,0
42,CS2_38,lstm,1076,0.2069229514438007,0.0,0
123,CS2_33,pinn,864,4.366127068054974,0.0,0
123,CS2_33,lstm,864,0.2801693884791458,0.0,0
123,CS2_34,pinn,774,0.1939805772264249,0.0,0
123,CS2_34,lstm,774,0.1757562677495501,0.0,0
123,CS2_35,pinn,932,0.2180751348331065,0.0,0
123,CS2_35,lstm,932,0.2011304898331834,0.0,0
123,CS2_36,pinn,970,4.386129653025285,0.0,0
123,CS2_36,lstm,970,0.2494183933364305,0.0,0
123,CS2_37,pinn,1037,4.990070513411464,0.0,0
123,CS2_37,lstm,1037,0.2198287050133433,0.0,0
123,CS2_38,pinn,1076,0.2173413847096275,0.0,0
123,CS2_38,lstm,1076,0.208119816673451,0.0,0
456,CS2_33,pinn,864,0.2874765273280181,0.0,0
456,CS2_33,lstm,864,0.2808211639979142,0.0,0
456,CS2_34,pinn,774,0.2114509601994369,0.0,0
456,CS2_34,lstm,774,0.1749483280264104,0.0,0
456,CS2_35,pinn,932,0.2176657592091216,0.0,0
456,CS2_35,lstm,932,0.1994398470679487,0.0,0
456,CS2_36,pinn,970,0.2581434164012866,0.0,0
456,CS2_36,lstm,970,0.2502982340527747,0.0,0
456,CS2_37,pinn,1037,0.2287591497840042,0.0,0
456,CS2_37,lstm,1037,0.2211255707655476,0.0,0
456,CS2_38,pinn,1076,0.2154308777897763,0.0,0
456,CS2_38,lstm,1076,0.2067582746931089,0.0,0
