RMSE,MAE,MAPE,R2,NLL,CRPS,PICP,MPIW,IS,model,fold,seed,train_time_s,infer_time_ms,config_hash
49.47333089921638,41.597803060632,85.9375488506552,-2.2548011572651037,1570.9465481461434,41.10377556976581,0.031578947368421054,3.473780632019043,1598.9998225663837,LSTM,B0005,42,10.43,1091.83,268ac103
48.803811398197084,40.896492556521764,85.4462710836928,-2.1673032007856268,1293.6421016660438,40.357230253374816,0.042105263157894736,3.8231184482574463,1565.0760146944147,LSTM,B0005,43,7.82,1094.62,268ac103
49.44264848419498,41.564053164030376,86.0155816888509,-2.2507652781006224,1216.046909782477,41.00546048028053,0.042105263157894736,3.9654641151428223,1588.9347720547726,LSTM,B0005,44,7.4,1103.22,268ac103
40.6280287955372,34.05357645734956,84.47237715823192,-2.1743013919442307,1130.447080681972,33.5786736923066,0.05063291139240506,3.3475735187530518,1299.7851142038273,LSTM,B0006,42,7.33,1527.44,268ac103
39.8081072164118,33.23071971724305,84.32570801718995,-2.047471923371802,858.2881793051145,32.69160370268251,0.05063291139240506,3.8435544967651367,1258.360748749745,LSTM,B0006,43,7.73,1530.04,268ac103
40.27508489160894,33.690689002411276,84.40464792576012,-2.119389351973667,814.316876407229,33.14275250931205,0.05063291139240506,3.911423683166504,1275.597116108182,LSTM,B0006,44,7.65,1538.32,268ac103
74.59474285859666,63.32526017963023,89.05063312600807,-2.5064069708387273,3979.0462932553414,62.85485157387817,0.028985507246376812,3.2989563941955566,2471.1098893034286,LSTM,B0007,42,6.95,1261.17,268ac103
73.59479409516827,62.24929460235264,88.43370997249448,-2.413029701986167,2940.4481934179757,61.704835317708294,0.028985507246376812,3.838303804397583,2418.2577928460164,LSTM,B0007,43,7.33,1228.93,268ac103
74.04650485060647,62.73325732825459,88.72068196171176,-2.455055325688738,2782.515965782414,62.18089140281052,0.021739130434782608,3.8978116512298584,2436.4497964503107,LSTM,B0007,44,7.16,1231.7,268ac103
33.16274273605466,27.58721948737529,83.28832970443986,-1.9405548282827434,691.9453989536644,27.090949641798115,0.04477611940298507,3.52892804145813,1038.033971786499,LSTM,B0018,42,7.42,1522.33,268ac103
32.583064776109694,27.022511418186017,83.43315772721583,-1.8386527010806426,578.4413647001727,26.486270282944382,0.04477611940298507,3.821519136428833,1010.2632829751541,LSTM,B0018,43,7.64,1513.83,268ac103
33.38735553368976,27.79301139489928,82.93583616751185,-1.980522752762043,554.4773557676754,27.24222070918795,0.07462686567164178,3.91908597946167,1039.4889681944207,LSTM,B0018,44,7.42,1494.54,268ac103
50.35536123317394,42.512286136024876,86.39533253064027,-2.371891495908825,1449.2595245527382,41.989048161539515,0.031578947368421054,3.694061517715454,1631.5728037859265,GRU,B0005,42,19.5,4490.51,a8bfab47
51.58204662193513,43.844352586645826,88.67391045689622,-2.538174911845065,2122.2714609146433,43.39614007586514,0.021052631578947368,3.1535985469818115,1694.7729185957658,GRU,B0005,43,19.38,4433.17,a8bfab47
