,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,63.296,12.811,37.961,86.67,0.264,0.348,2737.0,1712.0,1.0
alpha[0],57.274,0.806,55.736,58.761,0.014,0.011,3546.0,2960.0,1.0
alpha[1],40.539,0.833,38.875,42.031,0.014,0.013,3767.0,2567.0,1.0
alpha[2],94.403,0.947,92.589,96.08,0.018,0.014,2770.0,2753.0,1.0
alpha[3],50.308,1.388,47.91,53.078,0.028,0.019,2395.0,2920.0,1.0
beta[0],36.365,0.6,35.22,37.464,0.011,0.009,2881.0,2611.0,1.0
beta[1],-2.354,0.787,-3.881,-0.937,0.016,0.012,2348.0,2708.0,1.0
beta[2],1.966,0.579,0.878,3.038,0.011,0.009,2781.0,2723.0,1.0
sigma_alpha,24.713,8.124,12.181,40.03,0.155,0.156,2987.0,2596.0,1.0
sigma,8.229,0.262,7.727,8.708,0.004,0.005,3950.0,2964.0,1.0
