,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.008,-0.018,0.017,0.0,0.003,1373.0,77.0,2.23
mu_income,0.843,0.013,0.827,0.87,0.007,0.002,5.0,2.0,2.24
income_slope_cluster[0],0.846,0.017,0.83,0.883,0.009,0.003,5.0,2.0,2.24
income_slope_cluster[1],0.84,0.016,0.819,0.879,0.005,0.005,21.0,61.0,2.24
income_slope_cluster[2],0.844,0.017,0.829,0.885,0.008,0.003,6.0,119.0,2.23
income_slope_cluster[3],0.844,0.016,0.826,0.882,0.007,0.004,7.0,73.0,2.25
income_slope_cluster[4],0.841,0.015,0.818,0.875,0.005,0.004,15.0,87.0,2.24
income_slope_cluster[5],0.846,0.018,0.827,0.886,0.008,0.003,6.0,70.0,2.24
income_slope_cluster[6],0.845,0.017,0.826,0.881,0.008,0.003,6.0,87.0,2.24
income_slope_cluster[7],0.842,0.016,0.819,0.877,0.005,0.004,15.0,99.0,2.23
sigma_income,0.009,0.012,0.001,0.031,0.006,0.001,3.0,2.0,2.24
sigma,0.526,0.007,0.511,0.536,0.003,0.002,9.0,76.0,2.23
