protocol,seed,corruption,model,rmse,violation_rate
same_cell,42,gaussian,pinn,0.39467517249357575,0.0
same_cell,42,gaussian,lstm,0.216310504663107,0.0
same_cell,123,gaussian,pinn,0.4071971324510202,0.0
same_cell,123,gaussian,lstm,0.21604768982923694,0.0
same_cell,456,gaussian,pinn,0.41234245609533743,0.0
same_cell,456,gaussian,lstm,0.21564960486973153,0.0
same_cell,789,gaussian,pinn,0.39488889046675596,0.0
same_cell,789,gaussian,lstm,0.21588999655704813,0.0
same_cell,1024,gaussian,pinn,0.39665659149913224,0.0
same_cell,1024,gaussian,lstm,0.21605610649911342,0.0
same_cell,42,bias_drift,pinn,0.39755435397897704,0.0
same_cell,42,bias_drift,lstm,0.2160199668093531,0.0
same_cell,123,bias_drift,pinn,0.4023348644246678,0.0
same_cell,123,bias_drift,lstm,0.21553580181322243,0.0
same_cell,456,bias_drift,pinn,0.3957489986197949,0.0
same_cell,456,bias_drift,lstm,0.2155031937766215,0.0
same_cell,789,bias_drift,pinn,0.39549277166382124,0.0
same_cell,789,bias_drift,lstm,0.2160302955916447,0.0
same_cell,1024,bias_drift,pinn,0.39844447445718667,0.0
same_cell,1024,bias_drift,lstm,0.21577895917955192,0.0
same_cell,42,impulse_spikes,pinn,0.3961244991627984,0.0
same_cell,42,impulse_spikes,lstm,0.2158817786097936,0.0
same_cell,123,impulse_spikes,pinn,0.39554960839910813,0.0
same_cell,123,impulse_spikes,lstm,0.21600414370414997,0.0
same_cell,456,impulse_spikes,pinn,0.3955128508603394,0.0
same_cell,456,impulse_spikes,lstm,0.21599244717293445,0.0
same_cell,789,impulse_spikes,pinn,0.3875528229371615,0.0
same_cell,789,impulse_spikes,lstm,0.21564959423071575,0.0
same_cell,1024,impulse_spikes,pinn,0.3955158513904675,0.0
same_cell,1024,impulse_spikes,lstm,0.21564865372447742,0.0
same_cell,42,missing_segments,pinn,0.39907785487046504,0.0
same_cell,42,missing_segments,lstm,0.21555558649319162,0.0
same_cell,123,missing_segments,pinn,0.38963097616824355,0.0
same_cell,123,missing_segments,lstm,0.215622858084184,0.0
same_cell,456,missing_segments,pinn,0.39860231771340077,0.0
same_cell,456,missing_segments,lstm,0.21627193019704258,0.0
same_cell,789,missing_segments,pinn,0.39976943019711425,0.0
same_cell,789,missing_segments,lstm,0.21581937972431428,0.0
same_cell,1024,missing_segments,pinn,0.4030916933977003,0.0
same_cell,1024,missing_segments,lstm,0.2157282751429924,0.0
logo,42,gaussian,pinn,0.25553584847728716,0.0
logo,42,gaussian,lstm,0.22230162889341812,0.0
logo,123,gaussian,pinn,0.24890279488776,0.0
logo,123,gaussian,lstm,0.22246008237446943,0.0
logo,456,gaussian,pinn,0.25233732577127005,0.0
logo,456,gaussian,lstm,0.2230797231780711,0.0
logo,789,gaussian,pinn,0.25247346473344584,0.0
logo,789,gaussian,lstm,0.22222356622153186,0.0
logo,1024,gaussian,pinn,0.25906338201135,0.0
logo,1024,gaussian,lstm,0.2226049723466876,0.0
logo,42,bias_drift,pinn,0.26542682820518027,0.0
logo,42,bias_drift,lstm,0.22211615579343236,0.0
logo,123,bias_drift,pinn,0.2530363684579684,0.0
logo,123,bias_drift,lstm,0.22254789858067084,0.0
logo,456,bias_drift,pinn,0.246459709394786,0.0
logo,456,bias_drift,lstm,0.22245677541963102,0.0
logo,789,bias_drift,pinn,0.2604479857205639,0.0
logo,789,bias_drift,lstm,0.2225051922667849,0.0
logo,1024,bias_drift,pinn,0.26082990840593123,0.0
logo,1024,bias_drift,lstm,0.22247975859777921,0.0
logo,42,impulse_spikes,pinn,0.2521219298945882,0.0
logo,42,impulse_spikes,lstm,0.22238086954277225,0.0
logo,123,impulse_spikes,pinn,0.2539936699905374,0.0
logo,123,impulse_spikes,lstm,0.22244532965984418,0.0
logo,456,impulse_spikes,pinn,0.2456114741983123,0.0
logo,456,impulse_spikes,lstm,0.2226208753691519,0.0
logo,789,impulse_spikes,pinn,0.24450605090155433,0.0
logo,789,impulse_spikes,lstm,0.2224568032966188,0.0
logo,1024,impulse_spikes,pinn,0.25311611677404383,0.0
logo,1024,impulse_spikes,lstm,0.2226479080554485,0.0
logo,42,missing_segments,pinn,0.2524409453996485,0.0
logo,42,missing_segments,lstm,0.22290776985872254,0.0
logo,123,missing_segments,pinn,0.25762045049618854,0.0
logo,123,missing_segments,lstm,0.22234453065309465,0.0
logo,456,missing_segments,pinn,0.25246549043040756,0.0
logo,456,missing_segments,lstm,0.22260257627859611,0.0
logo,789,missing_segments,pinn,0.24564337286239876,0.0
logo,789,missing_segments,lstm,0.22255612103794417,0.0
logo,1024,missing_segments,pinn,0.2516361658791967,0.0
logo,1024,missing_segments,lstm,0.22234337306605254,0.0
