protocol,corruption,model,rmse_mean,rmse_std,violation_rate_mean,violation_rate_std
logo,bias_drift,lstm,0.22242115613165966,0.00017382024437461618,0.0,0.0
logo,bias_drift,pinn,0.257240160036886,0.007484783803715069,0.0,0.0
logo,gaussian,lstm,0.2225339946028356,0.00033862964219220416,0.0,0.0
logo,gaussian,pinn,0.2536625631762226,0.003824383785494245,0.0,0.0
logo,impulse_spikes,lstm,0.22251035718476714,0.00011725843089913284,0.0,0.0
logo,impulse_spikes,pinn,0.2498698483518072,0.004458702400113116,0.0,0.0
logo,missing_segments,lstm,0.22255087417888203,0.0002322226977458969,0.0,0.0
logo,missing_segments,pinn,0.251961285013568,0.00425829095851421,0.0,0.0
same_cell,bias_drift,lstm,0.21577364343407873,0.00025312321415173916,0.0,0.0
same_cell,bias_drift,pinn,0.3979150926288895,0.0027615377208393436,0.0,0.0
same_cell,gaussian,lstm,0.2159907804836474,0.00024304727535750517,0.0,0.0
same_cell,gaussian,pinn,0.4011520486011643,0.008111018233293849,0.0,0.0
same_cell,impulse_spikes,lstm,0.21583532348841422,0.0001765553409798882,0.0,0.0
same_cell,impulse_spikes,pinn,0.394051126549975,0.003641920115336109,0.0,0.0
same_cell,missing_segments,lstm,0.215799605928345,0.00028255733218892016,0.0,0.0
same_cell,missing_segments,pinn,0.3980344544693848,0.005015361576509495,0.0,0.0
